Order ID,Product,Category,Quantity Ordered,Price Each,Order Date,City,Region
1001,iPhone,Electronics,2,700.00,2023-01-05,San Francisco,West
1002,USB-C Charging Cable,Accessories,3,11.95,2023-01-07,Austin,South
1003,Macbook Pro Laptop,Electronics,1,1700.00,2023-01-10,New York City,East
1004,AA Batteries (4-pack),Accessories,4,3.84,2023-01-12,Seattle,West
1005,Google Phone,Electronics,1,600.00,2023-01-15,Boston,East
1006,Wired Headphones,Accessories,2,11.99,2023-01-18,Dallas,South
1007,27in FHD Monitor,Monitors,1,149.99,2023-01-20,Portland,West
1008,ThinkPad Laptop,Electronics,1,999.99,2023-01-22,Atlanta,South
1009,Apple Airpods Headphones,Accessories,2,150.00,2023-01-25,Los Angeles,West
1010,34in Ultrawide Monitor,Monitors,1,379.99,2023-01-28,Chicago,East
1011,iPhone,Electronics,1,700.00,2023-02-02,San Francisco,West
1012,Bose SoundSport Headphones,Accessories,2,99.99,2023-02-05,Austin,South
1013,Macbook Pro Laptop,Electronics,1,1700.00,2023-02-08,New York City,East
1014,USB-C Charging Cable,Accessories,3,11.95,2023-02-10,Seattle,West
1015,Google Phone,Electronics,2,600.00,2023-02-13,Boston,East
1016,27in 4K Gaming Monitor,Monitors,1,389.99,2023-02-15,Dallas,South
1017,AA Batteries (4-pack),Accessories,5,3.84,2023-02-18,Portland,West
1018,iPhone,Electronics,2,700.00,2023-02-20,Atlanta,South
1019,ThinkPad Laptop,Electronics,1,999.99,2023-02-22,Los Angeles,West
1020,Wired Headphones,Accessories,3,11.99,2023-02-25,Chicago,East
1021,iPhone,Electronics,2,700.00,2023-03-01,San Francisco,West
1022,Macbook Pro Laptop,Electronics,2,1700.00,2023-03-04,Austin,South
1023,USB-C Charging Cable,Accessories,4,11.95,2023-03-07,New York City,East
1024,Google Phone,Electronics,1,600.00,2023-03-10,Seattle,West
1025,Apple Airpods Headphones,Accessories,3,150.00,2023-03-13,Boston,East
1026,27in FHD Monitor,Monitors,2,149.99,2023-03-16,Dallas,South
1027,AA Batteries (4-pack),Accessories,3,3.84,2023-03-19,Portland,West
1028,ThinkPad Laptop,Electronics,1,999.99,2023-03-22,Atlanta,South
1029,34in Ultrawide Monitor,Monitors,1,379.99,2023-03-25,Los Angeles,West
1030,Bose SoundSport Headphones,Accessories,2,99.99,2023-03-28,Chicago,East
1031,iPhone,Electronics,3,700.00,2023-04-02,San Francisco,West
1032,Macbook Pro Laptop,Electronics,1,1700.00,2023-04-05,Austin,South
1033,Google Phone,Electronics,2,600.00,2023-04-08,New York City,East
1034,USB-C Charging Cable,Accessories,2,11.95,2023-04-11,Seattle,West
1035,27in 4K Gaming Monitor,Monitors,2,389.99,2023-04-14,Boston,East
1036,Apple Airpods Headphones,Accessories,1,150.00,2023-04-17,Dallas,South
1037,AA Batteries (4-pack),Accessories,4,3.84,2023-04-20,Portland,West
1038,ThinkPad Laptop,Electronics,2,999.99,2023-04-23,Atlanta,South
1039,Wired Headphones,Accessories,2,11.99,2023-04-26,Los Angeles,West
1040,34in Ultrawide Monitor,Monitors,1,379.99,2023-04-29,Chicago,East
1041,iPhone,Electronics,2,700.00,2023-05-03,San Francisco,West
1042,Macbook Pro Laptop,Electronics,1,1700.00,2023-05-06,Austin,South
1043,Google Phone,Electronics,1,600.00,2023-05-09,New York City,East
1044,Bose SoundSport Headphones,Accessories,3,99.99,2023-05-12,Seattle,West
1045,27in FHD Monitor,Monitors,2,149.99,2023-05-15,Boston,East
1046,USB-C Charging Cable,Accessories,5,11.95,2023-05-18,Dallas,South
1047,AA Batteries (4-pack),Accessories,3,3.84,2023-05-21,Portland,West
1048,ThinkPad Laptop,Electronics,1,999.99,2023-05-24,Atlanta,South
1049,Apple Airpods Headphones,Accessories,2,150.00,2023-05-27,Los Angeles,West
1050,27in 4K Gaming Monitor,Monitors,1,389.99,2023-05-30,Chicago,East
1051,iPhone,Electronics,3,700.00,2023-06-03,San Francisco,West
1052,Macbook Pro Laptop,Electronics,2,1700.00,2023-06-06,Austin,South
1053,Google Phone,Electronics,2,600.00,2023-06-09,New York City,East
1054,USB-C Charging Cable,Accessories,3,11.95,2023-06-12,Seattle,West
1055,34in Ultrawide Monitor,Monitors,2,379.99,2023-06-15,Boston,East
